file,label
./eurosat/2750/AnnualCrop/AnnualCrop_1.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_2.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_3.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_4.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_5.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_6.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_7.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_8.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_9.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_10.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_11.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_12.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_13.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_14.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_15.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_16.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_17.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_18.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_19.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_20.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_21.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_22.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_23.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_24.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_25.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_26.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_27.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_28.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_29.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_30.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_31.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_32.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_33.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_34.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_35.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_36.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_37.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_38.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_39.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_40.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_41.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_42.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_43.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_44.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_45.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_46.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_47.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_48.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_49.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_50.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_51.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_52.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_53.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_54.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_55.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_56.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_57.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_58.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_59.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_60.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_61.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_62.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_63.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_64.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_65.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_66.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_67.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_68.jpg,AnnualCrop
./eurosat/2750/AnnualCrop/AnnualCrop_69.jpg,AnnualCrop
